Reference,TIME_PERIOD,OBS_VALUE
Finland,2014,621
Finland,2015,667.7
Finland,2016,685.9
Finland,2017,713.8
Finland,2018,822
Finland,2019,573.8
Finland,2020,715.8
Finland,2021,601.4
Finland,2022,638.8
Finland,2023,576.8
Israel,2014,1576
Israel,2015,1547.1
Israel,2016,1746.6
Israel,2017,1719.7
Israel,2018,1705.1
Israel,2019,1874.6
Israel,2020,2007.9
Israel,2021,2039.9
Israel,2022,1941.6
Israel,2023,1822
Netherlands,2014,723
Netherlands,2015,994
Netherlands,2016,1065.4
Netherlands,2017,1045.8
Netherlands,2018,1050.5
Netherlands,2019,1010.3
Netherlands,2020,1061.3
Netherlands,2021,978.9
Netherlands,2022,1004.3
Netherlands,2023,922.9
New Zealand,2014,1080
New Zealand,2015,1016.7
New Zealand,2016,1024.1
New Zealand,2017,822.1
New Zealand,2018,1006.2
New Zealand,2019,907.9
New Zealand,2020,1068.9
New Zealand,2021,1316.8
New Zealand,2022,1036.2
New Zealand,2023,1233.4
Sweden,2014,674.8
Sweden,2015,722.6
Sweden,2016,732.5
Sweden,2017,722.6
Sweden,2018,834.7
Sweden,2019,767.4
Sweden,2020,863.3
Sweden,2021,904.6
Sweden,2022,1016.6
Sweden,2023,898.5
Italy,2014,1334.3
Italy,2015,1447.4
Italy,2016,1498.5
Italy,2017,1497.1
Italy,2018,758.5
Italy,2019,709.4
Italy,2020,941.8
Italy,2021,990.1
Italy,2022,734.8
Italy,2023,645.1
